x,y
4.828,5.157
7.361,2.926
3.864,6.322
3.864,5.864
4.289,7.42
5.873,2.253
6.155,3.334
3.481,6.678
3.291,5.325
2.344,1.48
4.908,6.389
2.166,2.091
1.965,2.087
2.785,6.016
6.296,2.874
2.907,3.094
5.228,4.651
3.604,6.553
2.382,2.082
6.681,2.376
5.325,3.967
3.08,2.448
1.603,2.178
2.012,1.489
5.509,1.63
1.875,5.735
5.598,3.617
2.161,1.262
6.448,2.706
2.352,5.762
4.197,5.96
4.082,6.547
3.881,4.355
5.655,2.783
1.106,3.045
1.333,1.563
1.589,6.042
6.932,1.145
1.302,1.599
3.328,5.653
1.699,2.672
1.778,2.714
3.481,6.748
1.712,1.645
2.805,1.951
4.705,6.236
3.836,6.143
2.651,1.58
2.597,2.097
1.093,2.422
2.229,2.557
2.752,1.299
3.31,6.524
2.312,2.379
6.05,3.053
2.714,6.33
3.939,6.486
5.977,2.81
6.252,2.589
6.682,2.843
6.055,5.373
6.56,1.763
2.46,2.519
6.291,2.998
7.205,2.532
6.264,3.626
4.11,7.019
0.398,2.789
6.873,2.78
2.688,0.928
2.708,6.296
3.952,2.298
1.577,2.566
6.341,2.891
5.513,2.937
2.106,3.149
2.307,2.175
7.439,2.629
2.654,2.225
1.74,3.081
5.948,2.697
6.325,3.329
5.806,2.886
4.523,5.689
6.13,3.594
2.17,2.352
3.696,6.296
5.641,2.845
6.389,2.608
6.883,3.523
2.439,2.326
4.507,5.975
1.837,2.605
6.074,3.135
6.22,2.057
4.165,6.681
2.589,3.427
6.608,2.793
2.922,6.561
3.277,5.858
4.429,2.818
2.484,7.796
1.075,3.622
3.307,6.743
3.263,6.875
1.518,2.475
3.362,6.688
2.488,2.914
2.628,2.974
3.173,2.775
2.578,6.656
1.792,6.385
2.509,2.778
3.253,2.523
7.046,2.99
5.918,2.921
5.068,3.064
6.396,3.442
4.133,7.112
2.98,6.689
4.272,6.79
1.831,2.778
3.102,6.38
4.88,3.693
3.702,5.936
0.143,2.821
1.884,3.501
1.788,1.914
4.827,3.803
4.738,6.106
6.551,2.246
5.499,6.528
2.279,2.134
6.017,2.12
6.094,3.478
7.007,3.349
2.282,3.085
5.032,2.828
1.093,2.831
3.033,6.164
4.445,6.416
3.25,2.81
2.345,6.772
6.931,3.293
3.088,3.293
1.594,2.548
2.023,3.281
4.652,5.893
1.787,3.065
3.562,6.08
3.425,7.044
7.339,3.565
1.248,1.816
3.205,6.214
4.567,3.93
5.589,3.123
2.565,2.393
6.859,3.988
4.084,5.404
3.138,3.169
4.452,1.756
4.072,6.809
6.888,3.586
1.899,1.919
3.224,1.58
2.931,5.917
6.484,2.481
6.224,3.355
3.348,6.361
1.468,3.242
2.712,2.716
4.511,6.074
5.22,4.994
1.814,1.575
2.86,2.979
5.906,3.416
6.76,2.74
1.542,3.175
3.618,6.699
5.538,3.109
6.473,3.768
3.797,5.574
2.4,2.957
5.056,7.29
7.266,3.738
6.309,4.043
4.2,5.785
5.346,2.085
2.672,2.239
3.283,7.479
1.904,2.005
3.902,6.678
1.973,3.325
6.233,3.216
3.914,6.976
2.718,2.159
7.041,3.175
4.271,6.117
2.546,2.889
6.113,2.997
5.901,3.31
3.543,1.739
5.586,3.775
2.054,2.661
4.337,6.999
6.515,3.199
