date,region,product,revenue
2025-01-02,South,Ember,175.18
2025-01-03,West,Ember,604.59
2025-01-03,East,Aurora,91.13
2025-01-04,West,Fathom,533.91
2025-01-05,West,Fathom,565.31
2025-01-05,North,Cirrus,873.82
2025-01-06,East,Delta,524.63
2025-01-06,South,Cirrus,680
2025-01-06,South,Ember,156.13
2025-01-06,South,Ember,158.37
2025-01-07,East,Delta,443.68
2025-01-07,North,Ember,600.87
2025-01-08,South,Delta,894.75
2025-01-08,South,Fathom,265.89
2025-01-10,East,Aurora,167.98
2025-01-13,East,Fathom,616.13
2025-01-13,North,Cirrus,873.8
2025-01-13,South,Fathom,224.79
2025-01-13,South,Fathom,215.44
2025-01-14,West,Aurora,810.95
2025-01-14,West,Basalt,573.76
2025-01-14,South,Fathom,338.12
2025-01-16,North,Fathom,434.57
2025-01-17,South,Delta,877.25
2025-01-18,South,Cirrus,877.62
2025-01-19,East,Cirrus,325.23
2025-01-20,East,Basalt,585.14
2025-01-21,West,Aurora,885.02
2025-01-21,East,Aurora,144.14
2025-01-24,West,Ember,684.25
2025-01-24,West,Fathom,771.64
2025-01-24,North,Delta,771.54
2025-01-25,East,Ember,192.99
2025-01-25,North,Ember,808
2025-01-26,North,Basalt,462.13
2025-01-27,West,Ember,865.82
2025-01-28,West,Basalt,545.5
2025-01-28,North,Delta,693.59
2025-01-28,South,Delta,578.79
2025-01-29,East,Cirrus,327.14
2025-01-29,North,Aurora,554.24
2025-01-29,North,Basalt,452.48
2025-01-30,West,Basalt,360.41
2025-01-30,North,Delta,560.26
2025-01-30,South,Basalt,265.1
2025-01-31,West,Delta,203.63
2025-01-31,East,Ember,287.48
2025-01-31,South,Aurora,299.78
2025-02-01,West,Cirrus,825.04
2025-02-02,West,Fathom,601.57
2025-02-03,East,Basalt,666.92
2025-02-04,East,Aurora,124.09
2025-02-04,East,Cirrus,363.07
2025-02-04,South,Aurora,356.55
2025-02-05,West,Aurora,504.09
2025-02-05,East,Aurora,95.77
2025-02-05,North,Ember,588.46
2025-02-06,West,Ember,601.54
2025-02-07,West,Cirrus,995.47
2025-02-07,North,Cirrus,1096.94
2025-02-08,East,Delta,327.29
2025-02-08,East,Ember,240.67
2025-02-09,South,Ember,103.65
2025-02-10,North,Basalt,436.38
2025-02-10,South,Basalt,260.38
2025-02-12,East,Cirrus,460.07
2025-02-12,South,Basalt,362.3
2025-02-12,South,Fathom,338.42
2025-02-13,East,Basalt,520.64
2025-02-13,South,Ember,104.72
2025-02-14,East,Aurora,138.58
2025-02-14,East,Aurora,149.59
2025-02-14,South,Aurora,385.96
2025-02-15,North,Basalt,355.39
2025-02-15,North,Fathom,261.69
2025-02-16,East,Fathom,878.87
2025-02-17,West,Basalt,557.07
2025-02-18,East,Ember,242.59
