date,region,product,revenue
2025-01-01,Latin America,Delta,3439.76
2025-01-02,Europe,Cirrus,6379.00
2025-01-02,Latin America,Atlas,3682.21
2025-01-02,North America,Delta,2714.55
2025-01-03,Latin America,Delta,1166.22
2025-01-03,Latin America,Delta,3654.37
2025-01-04,Europe,Cirrus,3116.06
2025-01-04,Europe,Cirrus,6927.92
2025-01-04,North America,Delta,6596.54
2025-01-04,North America,Beacon,5523.10
2025-01-06,Asia Pacific,Atlas,3873.88
2025-01-08,Europe,Beacon,3049.58
2025-01-08,Latin America,Delta,1613.08
2025-01-10,Asia Pacific,Beacon,1763.18
2025-01-11,Asia Pacific,Cirrus,2562.07
2025-01-11,Europe,Atlas,3623.19
2025-01-15,Europe,Delta,4177.09
2025-01-15,Latin America,Cirrus,2106.71
2025-01-15,Latin America,Atlas,2464.82
2025-01-15,Latin America,Delta,1536.73
2025-01-15,North America,Beacon,8031.40
2025-01-15,North America,Beacon,4614.89
2025-01-16,Asia Pacific,Atlas,1250.97
2025-01-16,Asia Pacific,Beacon,2126.37
2025-01-22,Europe,Atlas,2999.11
2025-01-22,North America,Delta,5114.69
2025-01-23,North America,Cirrus,8417.26
2025-01-24,Europe,Atlas,2610.16
2025-01-24,North America,Atlas,3093.65
2025-01-25,Asia Pacific,Cirrus,4143.88
2025-01-26,Asia Pacific,Atlas,3282.36
2025-01-27,Asia Pacific,Cirrus,4504.94
2025-01-27,Europe,Beacon,4670.01
2025-01-28,Europe,Cirrus,2921.53
2025-01-29,Latin America,Atlas,2993.57
2025-01-31,Europe,Cirrus,2743.81
2025-02-02,Asia Pacific,Cirrus,3877.26
2025-02-02,North America,Cirrus,8795.84
2025-02-02,North America,Delta,8344.60
2025-02-03,North America,Atlas,8675.53
2025-02-04,North America,Delta,2482.57
2025-02-06,North America,Delta,6736.66
2025-02-06,North America,Cirrus,4713.54
2025-02-07,Europe,Atlas,6002.01
2025-02-07,Latin America,Beacon,1829.18
2025-02-08,Latin America,Atlas,2571.07
2025-02-10,North America,Delta,2686.16
2025-02-11,Asia Pacific,Atlas,4011.18
2025-02-11,Asia Pacific,Beacon,1507.74
2025-02-11,Asia Pacific,Delta,4671.18
2025-02-11,Europe,Atlas,5400.59
